每股净资产(元/股)_NAPS,净资产收益率(TTM)(%)_ROETTM,销售净利率(%)_Netprfrt,销售毛利率(%)_Gincmrt,流动比率(%)_Currt,速动比率(%)_Qckrt,利息保障倍数_Intcvr,现金流动负债比_OpeCcurdb,存货周转率(次)_Invtrtrrat,应收账款周转率(次)_ARTrat,流动资产周转率(次)_Currat,总资产周转率(次)_Totassrat,资产负债率(%)_Dbastrt,权益乘数(%)_Equmul
8.7553,13.948,14.0936,26.5524,1.476,1.2083,20.9977,-0.1391,5.0831,3.7744,1.0017,0.5608,47.1547,1.8923
6.7831,13.6213,10.7175,28.7489,2.5698,2.268,,0.4223,6.2124,5.7176,1.3585,0.8242,28.4987,1.3986
10.9883,29.8072,10.4323,21.5927,1.8907,1.6124,107.6147,0.3009,6.8268,4.7804,1.6085,1.395,47.2962,1.8974
7.39,32.3474,31.8332,56.5813,2.6129,2.6126,,0.7833,1774.654,4.4643,0.8852,0.6939,32.137,1.4736
7.5463,7.3749,14.9988,29.7481,0.3877,0.3815,11.8913,0.3192,77.4748,7.7887,1.9608,0.3125,41.8351,1.7192
5.2989,5.2061,2.4063,10.451,0.2876,0.2673,2.0781,0.234,77.4544,53.7511,6.8464,0.6178,68.3027,3.1548
2.8846,16.1102,8.8887,22.1761,2.0256,1.5628,8.9732,0.354,5.5711,3.1404,1.4855,0.9314,46.907,1.8835
4.6054,5.9446,4.7086,11.8141,1.5151,1.4558,4.0471,0.0487,49.6935,5.4856,2.2416,0.8855,38.9018,1.6367
4.4619,0.9021,1.1449,14.7107,0.5952,0.5201,1.426,0.1704,19.7606,12.9711,2.5154,0.3531,55.7595,2.2604
1.9061,-6.6221,-2.5984,23.0937,1.598,1.0785,-1.1203,0.1933,3.9175,7.4928,1.6337,1.1659,52.5015,2.1053
4.0325,1.9957,-0.1959,41.1107,0.9955,0.8356,1.5453,0.0765,3.0502,1.9185,0.8292,0.3894,69.1888,3.2456
7.9729,22.1795,61.6267,50.7808,1.246,1.1486,5.6434,0.533,4.81,29.1831,0.8874,0.1365,52.459,2.1034
2.1369,7.7088,5.599,14.822,1.972,1.4186,14.5746,0.0564,2.1094,3.1302,0.8528,0.6825,51.4615,2.0602
1.5049,-80.2897,-562.9859,82.5039,2.4502,1.7851,-84.2768,-0.1144,0.1858,1.5342,0.231,0.0966,35.3589,1.547
3.6707,33.6513,4.0704,8.6407,1.484,1.1912,,0.1719,10.3942,5.0462,2.5437,2.379,63.9365,2.7729
2.028,5.8337,10.3475,25.2254,0.6996,0.6139,7.2449,0.7245,18.7787,13.1548,2.5928,0.3654,40.3558,1.6766
4.0731,2.7254,3.929,7.5937,0.9898,0.9437,,0.5078,58.4496,4.7868,3.1943,0.5714,18.6031,1.2285
5.7656,4.3476,2.3248,12.6657,1.6189,1.3475,,0.161,8.7883,5.0138,1.5938,1.0876,43.7213,1.7769
3.8612,8.4382,3.5651,11.3988,2.5559,2.4993,1348.7733,0.0952,62.9,5.1024,2.5567,1.7237,28.0491,1.3898
8.9948,19.5569,19.9527,52.1835,3.7674,3.4335,,1.0199,3.8308,5.9576,0.8645,0.7623,23.1562,1.3013
9.4497,21.6366,15.9496,31.7779,1.9924,1.7102,,0.3316,5.9559,3.3871,1.266,0.8011,42.5462,1.7405
4.3631,5.074,3.9099,21.3011,1.3959,1.3111,3.3295,0.0358,16.9789,1.3532,0.8874,0.7969,69.5446,3.2835
4.4783,14.3702,19.6481,30.5468,4.7385,4.4595,,0.7197,8.7705,2.907,0.7442,0.607,17.3845,1.2104
3.2457,10.8581,6.1598,20.4302,0.7853,0.525,11.0278,0.0728,4.3939,5.0461,1.66,0.827,56.4545,2.2964
9.8827,9.5999,12.351,23.7293,3.2605,2.8743,,0.2691,7.516,6.5463,0.988,0.6213,20.2242,1.2535
6.8025,9.4707,6.7774,15.1696,2.2093,2.2067,,-0.5326,1499.1519,4.3292,2.3419,1.1104,23.1382,1.301
5.8453,9.5355,10.418,22.7302,2.8275,2.5436,,0.3348,7.9714,4.1097,0.9735,0.7174,24.7414,1.3288
10.5528,7.6431,6.3999,18.7769,0.9958,0.7571,6.8207,0.1205,4.7699,4.3159,1.4953,0.6294,40.5956,1.6834
4.06,28.6824,15.2979,27.2119,1.7921,1.3104,8.9939,0.6323,8.8164,12.1679,3.9263,1.2729,30.5935,1.4408
1.8828,20.8742,3.8415,56.232,1.3049,1.2701,3.0128,0.1221,40.5509,5.7829,1.8672,1.5452,68.08,3.1328
