Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
China Fortune Securities,https://www.crunchbase.com/organization/china-fortune-securities,"Asset Management, Finance, Security","279,418",1,,1,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"301,175",,-0.2,2,-1.2,"2,248","2,756.52",-38.89%,137,9.19%,5.21,36.58%,35.07%,4.07%,"5,161,097","1,013,232",24.43%,4,9,"30,374",,,,,,,,,2001-01-01,year,,,,,,1,,"Financial Services, Privacy and Security"
CITEX,https://www.crunchbase.com/organization/citex,"Asset Management, Finance","306,285",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,,2018-09-12,,,,Corporate Round,,,,Corporate Round,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"329,856",,-0.7,-1,-1.6,,,,,,,,,,,,,,,,,,,,,,,,2018-06-01,month,,,,,,,,Financial Services
Huaruixin,https://www.crunchbase.com/organization/huaruixin,"Finance, Financial Services, Venture Capital","314,308",,,2,2,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"338,402",,0.4,5.3,6.4,41,513.53,,4,,2,,,,"34,284,183",,,14,,,,,,,,,,,,,,,,,,2,,"Financial Services, Lending and Investments"
DailyCost,https://www.crunchbase.com/organization/dailycost,"Finance, Personal Finance","331,221",6,Less than $1M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"356,386",,0.3,-0.1,1.5,"1,666","1,318.54",118.66%,0,-99.77%,1.13,-23.76%,95.73%,43.69%,"10,234,655","-4,012,700",-28.16%,12,,,8,,,,,,,,2012-10-09,day,,,,,,,,Financial Services
Zhongnan Capital,https://www.crunchbase.com/organization/zhongnan-capital,"Finance, Financial Services","353,784",,,2,1,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"380,338",,-0.4,4,2.1,46,19.75,-35%,89,-8.25%,5,66.67%,,,"32,269,700","670,604",2.12%,4,,,,,,,,,,,2014-12-01,month,,,,,,2,,Financial Services
Bauing Group,https://www.crunchbase.com/organization/bauing-group,"Finance, Real Estate","379,022",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,,2018-09-11,,,,Corporate Round,,,,Corporate Round,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"407,127",,-0.3,-0.2,-0.1,"7,676","8,635.14",-22.88%,215,34.98%,8.25,22.79%,12.33%,-4.94%,"1,917,028","117,418",6.52%,9,,,,,,,,,,,,,,,,,,,,"Financial Services, Real Estate"
Hua Kang,https://www.crunchbase.com/organization/hua-kang,"Fashion, Finance, Insurance","416,194",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",,,,2,55000000,USD,55000000,,2008-07-15,25000000,USD,25000000,Venture - Series Unknown,25000000,USD,25000000,Venture - Series Unknown,55000000,USD,55000000,"IDG Capital, Matrix Partners China",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"446,458",,-0.4,-0.7,-0.7,849,"3,198.46","1,650.09%",39,,2.76,175.87%,49.88%,-50.12%,"11,545,212","-23,389,906",-66.95%,15,2,,,,,,,,,,2006-07-01,day,,,,,,,,"Clothing and Apparel, Design, Financial Services"
Haoyun Technologies Co.,https://www.crunchbase.com/organization/haoyun-technologies-co,"Finance, Security","466,022",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",,1001-5000,,,,,,,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,"499,176",,-0.5,-1.1,-0.9,"1,515","2,186.4",-48.76%,156,23.35%,4.32,-61.11%,22.18%,10.89%,"7,608,566","4,365,505",134.61%,11,1,,,,,,,,,,2001-01-01,year,,,,,,,,"Financial Services, Privacy and Security"
VANKIA,https://www.crunchbase.com/organization/vankia,"Bitcoin, Blockchain, Cryptocurrency, Finance","474,163",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,1,,,,Seed,2018-06-11,,,,Angel,,,,Angel,,,,APOFCO,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"507,772",,-0.4,-0.7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Payments, Software"
Keystone Technologies Inc.,https://www.crunchbase.com/organization/keystone-3,"Analytics, Finance, Financial Services","492,446",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,11-50,,1,,,,Seed,2015-08-01,,,,Seed,,,,Seed,,,,IDG Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"527,160",,-0.4,-0.7,-0.3,,,,,,,,,,,,,1,,,,,,,,,,,2015-08-01,month,,,For Profit,,,,,"Data and Analytics, Financial Services"
Guangdong Rising Assets Management,https://www.crunchbase.com/organization/guangdong-rising-assets-management,"Asset Management, Finance, Information Technology","568,726",,,1,1,,,,,,,,,,,"Guangzhou, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"608,366",,-0.2,2.4,2.4,"2,639","13,126.51",69.58%,145,197.24%,3.67,-25.59%,53.73%,34.26%,"5,221,594","-2,411,871",-31.6%,1,,,,,,,,,,,1999-09-30,day,,,,,,1,,"Financial Services, Information Technology"
Shenzhen New Industry Venture Capital,https://www.crunchbase.com/organization/shenzhen-new-industry-venture-capital,"Finance, Financial Services","584,651",,,1,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"625,403",,-0.2,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,1996-01-01,year,,,,,,1,,Financial Services
HNF,https://www.crunchbase.com/organization/hnf,"Energy, Finance, Financial Services","616,952",,,1,1,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"660,123",,1.9,1.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,2013-01-01,year,,,,,,1,,"Energy, Financial Services"
Guangzhou Rural Commercial Bank,https://www.crunchbase.com/organization/guangzhou-rural-commercial-bank,"Banking, Finance, Financial Exchanges, Financial Services, Wealth Management","706,409",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"757,320",,0.3,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,1951-01-01,year,,,For Profit,,,,,"Financial Services, Lending and Investments"
