Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
Viatom Technology,https://www.crunchbase.com/organization/viatom-technology,"Consumer Electronics, Hardware, Health Care, Information Technology, Medical Device","179,046",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"192,851",,0.8,2.3,1.5,"5,787","7,479.13",61.82%,153,-9.22%,5.99,44.81%,13.7%,-33.46%,"2,719,929","-1,441,066",-34.63%,31,,,,,,,,,,,,,,,For Profit,,,,,"Consumer Electronics, Hardware, Health Care, Information Technology"
Genlot,https://www.crunchbase.com/organization/genlot,"E-Commerce, Information Technology, Software","182,726",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,2,,,,Early Stage Venture,2007-03-01,,,,Series B,,,,Series B,,,,"Intel Capital, JAFCO Asia, KTB Ventures, Sequoia Capital, SIG China (SIG Asia Investments)",,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"196,870",,-0.3,0.2,0,125,331.74,-76.53%,26,-95.68%,1.41,-54.18%,58.78%,-11.47%,"30,001,544","15,813,192",111.45%,4,,,0,,,,,,,,2000-01-01,year,,,,,,,,"Commerce and Shopping, Information Technology, Software"
Spacetouch,https://www.crunchbase.com/organization/spacetouch,Information Technology,"184,889",,,,,,,,,,,,,,,"Zhuhai, Guangdong, China",,,,1,,,,Early Stage Venture,2019-03-21,,,,Series A,,,,Series A,,,,Volcanics Venture,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"199,212",,-0.2,-0.1,-1.2,297,415.26,-61.64%,25,-97.25%,1.9,-68.58%,50%,50%,"20,735,385","10,478,682",102.16%,4,,,,,,,,,,,2017-01-01,year,,,For Profit,,,,,Information Technology
Parblo,https://www.crunchbase.com/organization/parblo,"3D Technology, Architecture, Art, Human Computer Interaction, Industrial, Information Technology","187,310",2,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"201,877",,-0.4,0.8,3.2,"69,359","76,135.22",-10.23%,139,-9.37%,2.85,-1.85%,44.81%,-8.74%,"585,200","63,303",12.13%,8,,,,,,,,,,,2015-01-01,year,,,For Profit,,,,,"Design, Hardware, Information Technology, Media and Entertainment, Real Estate, Science and Engineering, Software"
Gödel Labs,https://www.crunchbase.com/organization/gödel-labs,"Blockchain, Information Services, Information Technology","189,639",,,1,,,,,,,,,,,,"Guangzhou Shi, Guangdong, China",1,11-50,Roy Zou,1,,,,Seed,2018-01-01,,,,Seed,,,,Seed,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"204,411",,1.7,1.8,3.4,632,278.86,-22.17%,291,15.69%,1.58,-57.96%,70.98%,-3.2%,"16,343,677","4,780,954",41.35%,5,,,,,,,,,,,2017-11-01,day,,,For Profit,,,1,,Information Technology
Shenzhen Longsys Electronics,https://www.crunchbase.com/organization/shenzhen-longsys-electronics,"Electronics, Hardware, Information Technology, Software","191,286",,,1,,,,,,,,,,,,"Shenzhen, Guangdong, China",,251-500,,,,,,,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2,"206,196",,0,0.6,1.9,"45,373","58,460.37",7.59%,701,-24.54%,13.29,-11.67%,15.15%,9.15%,"510,628","36,816",7.77%,2,,,,6,6,Computing; Calculating,Scientific and electric apparatus and instruments,,,,1999-01-01,year,,,For Profit,,,1,,"Consumer Electronics, Hardware, Information Technology, Software"
Jingwei Investments,https://www.crunchbase.com/organization/jingwei-investments,"Analytics, Information Technology, Marketing, Software","191,792",3,,6,3,,,,,,,,,,,"Shenzhen, Guangdong, China",,1-10,,,,,,IPO,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,,,Delisted,2012-05-08,,none,,,,,,,JNGW,https://www.crunchbase.com/ipo/jingwei-investments-ipo--31b6cb00,OTCBB,,"206,749",,-0.2,-0.2,-0.1,,,,,,,,,,,,,5,,,,,,,,,,,,,2012-05-08,day,For Profit,,,6,,"Data and Analytics, Information Technology, Sales and Marketing, Software"
Particle Accelerator Limited,https://www.crunchbase.com/organization/particle-accelerator-limited,Information Technology,"196,623",,,,,,,,,,,,,,,"Shenzhen, Guangdong, China",1,11-50,Mingles Tsoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"211,995",,-0.2,-0.3,-0.2,208,456.33,-61.89%,0,-99.11%,1.29,-79.15%,71.42%,34%,"25,691,079","13,387,986",108.82%,19,,,,,,,,,,,2017-10-01,month,,,For Profit,,,,,Information Technology
Dreamshare Network Technology,https://www.crunchbase.com/organization/dreamshare-network-technology,"Information Technology, Mobile","198,469",,,,,,,,,,,,,,,"Guangzhou, Guangdong, China",,,,1,,,,Early Stage Venture,2019-04-02,,,,Series B,,,,Series B,,,,"Fosun RZ Capital, Haitong Leading Capital Management, Jiguang, Mandra Capital",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"214,001",,-0.4,-0.9,7.8,"4,550","3,130.17",99.77%,"1,077",70.32%,9.84,-64.75%,24.93%,-25.43%,"2,778,623","14,335",0.52%,10,,,,,,,,,,,2014-01-01,year,,,For Profit,,,,,"Information Technology, Mobile"
Qihan,https://www.crunchbase.com/organization/qihan,"Analytics, Artificial Intelligence, Electronics, Information Technology, Manufacturing","200,485",1,$50M to $100M,,,,,,,,,,,,,"Shenzhen, Guangdong, China",,251-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"216,181",,0,-0.3,0.1,"1,657","3,538.28",-55.46%,171,35.08%,4.4,28.9%,12.84%,-8.57%,"7,075,562","2,744,674",63.37%,9,53,,,,,,,,,,2006-01-01,year,,,For Profit,,,,,"Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Information Technology, Manufacturing, Science and Engineering, Software"
