Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
Good Financial,https://www.crunchbase.com/organization/good-financial-4b13,"Finance, Financial Services, FinTech, Lending, Micro Lending, Social Entrepreneurship","45,603",1,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",6,1-10,"Charlotte McClure, Jared King, Joy Tadios-Arenas, Malcolm Loudon, Rochelle Le Pine, Spark So",1,640000,USD,640000,Seed,2018-02-01,640000,USD,640000,Seed,640000,USD,640000,Seed,640000,USD,640000,Cyberport Hong Kong,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"47,051",,1.4,8.7,8.6,,,,,,,,,,,,,,,,,,,,,,,,2017-10-10,day,,,For Profit,,,,,"Community and Lifestyle, Financial Services, Lending and Investments"
China Money Network,https://www.crunchbase.com/organization/china-money-network,"Digital Media, Finance, News","45,951",161,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,11-50,Nina Xiang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,"47,411",,-0.2,1.4,0,"28,033","40,833.52",63.21%,46,-10.9%,1.38,-13.2%,53.55%,-10.06%,"1,491,102","-389,886",-20.73%,15,,,,,,,,,,,2011-05-01,day,,,For Profit,,,,,"Content and Publishing, Financial Services, Media and Entertainment"
Cryptonator,https://www.crunchbase.com/organization/cryptonator,"Bitcoin, Finance, FinTech, Virtual Currency","46,212",,Less than $1M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",3,51-100,"Andy Chen, Brian Chen, Brian Chen",1,20000,USD,20000,Seed,2014-01-14,20000,USD,20000,Seed,20000,USD,20000,Seed,20000,USD,20000,Boss Roman,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"47,681",,0.2,0.7,-0.2,"2,025,641","1,832,913.52",15.06%,332,0.1%,4.65,-1.48%,32.53%,5.32%,"28,741","-2,935",-9.27%,10,2,"19,020",10,,,,,,,,2014-01-14,day,,,For Profit,,,,,"Financial Services, Payments, Software"
PlasmaBank,https://www.crunchbase.com/organization/plasma-bank,"Cryptocurrency, Finance, Financial Services, FinTech, Payments, Trading Platform","55,774",,,,,,,,,,,,,,,"Central, Hong Kong Island, Hong Kong",2,11-50,"Evgeny Fedorov, Ilia Maksimenka",1,650000,USD,650000,Seed,2017-11-10,650000,USD,650000,Seed,650000,USD,650000,Seed,650000,USD,650000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"57,659",,0,0.5,-0.5,,,,,,,,,,,,,8,,,,,,,,,,,2017-09-05,day,,,For Profit,,,,,"Financial Services, Lending and Investments, Payments, Software"
MOBEXO,https://www.crunchbase.com/organization/mobexo,"Finance, FinTech, Mobile Payments, Payments","57,867",,$10M to $50M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,51-100,,1,1800000,USD,1800000,Seed,2013-11-13,1800000,USD,1800000,Seed,1800000,USD,1800000,Seed,1800000,USD,1800000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"59,863",,0.1,0.4,-0.2,,,,,,,,,,,,,4,,,2,,,,,,,,2010-01-01,year,,,For Profit,,,,,"Financial Services, Mobile, Payments, Software"
Ozura World,https://www.crunchbase.com/organization/ozura,"Finance, Mobile, Social Network","60,083",3,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,51-100,,5,53000000,USD,53000000,,2010-10-12,30000000,USD,30000000,Venture - Series Unknown,30000000,USD,30000000,Venture - Series Unknown,53000000,USD,53000000,Inovisi Infracom,1,1,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,"62,194",,0.8,-0.2,-0.1,,,,,,,,,,,,,6,3,,,,,,,,,,2004-12-31,day,,,,,,,,"Financial Services, Internet Services, Mobile"
Futu Securities,https://www.crunchbase.com/organization/futu-securities,"Finance, Financial Services, FinTech, Online Auctions, Trading Platform","63,707",3,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,251-500,Leaf Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"66,034",,0.1,-0.1,-0.9,"48,701","42,595.03",22.17%,135,24.66%,1.82,12.51%,57.79%,-0.44%,,,,25,,,,,,,,,,,2012-01-01,year,,,For Profit,,,,,"Commerce and Shopping, Financial Services, Lending and Investments"
Tatch Capital Limited,https://www.crunchbase.com/organization/tatch-capital-limited,"Finance, Trade Shows, Trading Platform","67,902",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,1-10,,1,600000,USD,600000,,2017-05-01,600000,USD,600000,Initial Coin Offering,600000,USD,600000,Initial Coin Offering,600000,USD,600000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"70,521",,0.4,1.1,0,23,110.06,-94.56%,153,150.13%,6,314.3%,0%,-20.34%,"34,385,218","14,858,541",76.09%,17,,,,,,,,,,,2017-01-01,year,,,For Profit,,,,,"Administrative Services, Financial Services, Lending and Investments"
Shenzhen Zijintongcai,https://www.crunchbase.com/organization/shenzhen-zijintongcai,"Finance, Financial Services, Service Industry","68,967",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,,,1,60000000,USD,60000000,Early Stage Venture,2015-12-10,60000000,USD,60000000,Series A,60000000,USD,60000000,Series A,60000000,USD,60000000,Tiger Global Management,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"71,665",,-0.3,-0.3,-0.6,,,,,,,,,,,,,6,,,,,,,,,,,2014-06-01,month,,,For Profit,,,,,Financial Services
Crowdbaron,https://www.crunchbase.com/organization/crowdbaron,"Crowdfunding, Crowdsourcing, Finance, Property Management, Real Estate","69,370",7,Less than $1M,,,,,,,,,,,,,"Kowloon City, Kowloon, Hong Kong",1,1-10,Saeed Hassan,1,100000,USD,100000,Seed,2013-02-01,100000,USD,100000,Seed,100000,USD,100000,Seed,100000,USD,100000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"72,102",,0.4,0,0.7,22,7.27,,23,,2,,,,"35,786,848",,,28,,,7,,,,,,,,2012-01-01,year,,,,,,,,"Financial Services, Real Estate"
