Organization Name,Organization Name URL,Categories,CB Rank (Company),Number of Articles,Estimated Revenue Range,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Number of Alumni,Number of Enrollments,School Type,School Program,School Method,Number of Founders (Alumni),Headquarters Location,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),SimilarWeb - Monthly Visits,SimilarWeb - Average Visits (6 months),SimilarWeb - Monthly Visits Growth,SimilarWeb - Visit Duration,SimilarWeb - Visit Duration Growth,SimilarWeb - Page Views / Visit,SimilarWeb - Page Views / Visit Growth,SimilarWeb - Bounce Rate,SimilarWeb - Bounce Rate Growth,SimilarWeb - Global Traffic Rank,SimilarWeb - Monthly Rank Change (#),SimilarWeb - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Siftery - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Application Deadline,Category Groups
COSMO,https://www.crunchbase.com/organization/cosmomade,"Industrial Automation, Industrial Engineering, Manufacturing, Product Design","98,919",,$500M to $1B,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",3,5001-10000,"Bernhard Obermaier, Ralph Reichert, Stephan Wembacher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"104,415",,-0.1,0,0.2,"2,061",993.58,194.72%,133,-26.71%,3.32,-18.23%,28.09%,-2.04%,"7,133,335","-4,757,722",-40.01%,16,,,,,,,,,,,1997-01-01,year,,,For Profit,,,,,"Design, Manufacturing, Science and Engineering"
Edifier,https://www.crunchbase.com/organization/edifier,"Audio, Consumer Electronics, Electronics, Hardware, Manufacturing, Product Design","114,151",57,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",1,10001+,Wendong Zhang,,,,,IPO,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,,,Public,2010-02-12,,,,,,,,,002351,https://www.crunchbase.com/ipo/edifier-ipo--48902977,SHE,1,"121,326",,-0.1,-0.5,0.3,"512,803","497,862.36",7.22%,198,-1.6%,3.42,1.95%,46.09%,-3.04%,"110,985",528,0.48%,18,,,5,,,,,,,,1996-01-01,year,2010-02-12,day,For Profit,,,,,"Consumer Electronics, Design, Hardware, Manufacturing, Media and Entertainment, Music and Audio"
Asia Time,https://www.crunchbase.com/organization/asia-time,"Manufacturing, News, Publishing","120,821",7,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,51-100,,,,,,IPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delisted,2013-03-12,2017-07-10,day,,,,,,,ATYM,https://www.crunchbase.com/ipo/asia-time-ipo--c9a6560b,OTC Pink,,"128,709",,0.3,1.3,-0.3,"1,779,010","8,000,130.17",-65.18%,70,149.76%,1.41,19.26%,83.12%,-7.24%,"1,060,855","350,920",49.43%,10,5,,23,,,,,,,,1999-01-01,year,2013-03-12,day,For Profit,,,,,"Content and Publishing, Manufacturing, Media and Entertainment"
Amperex Technology,https://www.crunchbase.com/organization/amperex-technology,"Consumer Electronics, Energy Storage, Manufacturing, Marketing","122,417",39,,2,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,5001-10000,,1,30000000,USD,30000000,M&A,2003-01-01,30000000,USD,30000000,Series B,30000000,USD,30000000,Series B,30000000,USD,30000000,"3i Group, The Carlyle Group",1,2,,Was Acquired,Amperex Technology acquired by TDK,https://www.crunchbase.com/acquisition/tdk-corp-acquires-amperex-technology--e87fa801,TDK,https://www.crunchbase.com/organization/tdk-corp,2005-06-01,day,,,,Acquisition,,Private,,,,,,,,,,,,,,"130,480",,-0.2,0,-0.4,"5,979","26,556.81",-51.43%,73,-27.99%,2.41,-36.88%,42.01%,20.86%,"3,337,326","1,535,335",85.2%,11,,,,5,1,Basic Electric Elements,Scientific and electric apparatus and instruments,,,,1999-01-01,year,2005-06-01,day,For Profit,,,2,,"Consumer Electronics, Energy, Hardware, Manufacturing, Sales and Marketing"
The Bogart Group,https://www.crunchbase.com/organization/the-bogart-group,"Fashion, Manufacturing","127,508",,,,,,,,,,,,,,,"Kowloon City, Kowloon, Hong Kong",,,,,,,,M&A,,,,,,,,,,,,,,,,,Was Acquired,The Bogart Group acquired by Delta Galil,https://www.crunchbase.com/acquisition/delta-galil-acquires-the-bogart-group--8f1eab48,Delta Galil,https://www.crunchbase.com/organization/delta-galil,2019-06-10,day,,,,Acquisition,,Private,,,,,,,,,,,,,,"136,129",,0.4,8.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-10,day,,,,,,"Clothing and Apparel, Design, Manufacturing"
8Bitdo,https://www.crunchbase.com/organization/8bitdo,"Consumer Electronics, Gaming, Manufacturing","131,337",21,$1M to $10M,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"140,392",,0.2,0.6,-0.3,"590,650","654,593.44",26.58%,190,6.2%,3.15,-0.88%,41.94%,2.42%,"99,646","-13,474",-11.91%,29,,,,,,,,,,,2013-07-15,day,,,For Profit,,,,,"Consumer Electronics, Gaming, Hardware, Manufacturing"
Loscam,https://www.crunchbase.com/organization/loscam,Manufacturing,"137,085",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,,,1,,,,Private Equity,2018-12-20,,,,Private Equity,,,,Private Equity,,,,CITIC Capital Holdings,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"146,779",,-0.1,-0.1,1.5,"4,277","8,212.77",-4.14%,106,-26.86%,4.29,77.92%,60.08%,19.05%,"3,658,930","-1,070,353",-22.63%,25,,,14,,,,,,,,1942-01-01,year,,,For Profit,,,,,Manufacturing
Motic,https://www.crunchbase.com/organization/motic,"Education, Manufacturing","141,998",4,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",,1001-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"152,186",,1.4,1.4,1.1,"19,776","22,378.35",-6.49%,366,-3.06%,6.41,23.65%,16.97%,-6.12%,"1,138,628","10,062",0.89%,15,17,205,2,,,,,,,,1988-01-01,year,,,,,,,,"Education, Manufacturing"
CITIC Limited,https://www.crunchbase.com/organization/citic-limited,"Finance, Financial Services, Manufacturing","148,456",9,,2,2,,,,,,,,,,,"Central, Hong Kong Island, Hong Kong",,10001+,,,,,,IPO,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,,,Public,1999-02-05,,,,,,,,,0267,https://www.crunchbase.com/ipo/citic-limited-ipo--0ab985d1,HKG,,"159,327",,1.3,0.8,2.8,"163,589","158,617.26",-6.73%,143,-44.4%,3.64,-17.12%,27.52%,-7.22%,"291,338","29,662",11.34%,33,,,5,,,,,,,,2011-01-01,year,1999-02-05,day,For Profit,,,2,,"Financial Services, Manufacturing"
PackMojo,https://www.crunchbase.com/organization/packmojo,"E-Commerce, E-Commerce Platforms, Fashion, Graphic Design, Internet, Manufacturing, Packaging Services, Printing, Web Apps, Web Design","150,935",,,,,,,,,,,,,,,"Hong Kong, Hong Kong Island, Hong Kong",2,1-10,"Vincent Choi, Wendy Chan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,"162,071",,0,-0.1,0,"6,455","3,427.46",-32.34%,159,-65.22%,4.61,-24.76%,38.37%,2.47%,"2,720,608","939,129",52.72%,9,,,,,,,,,,,2018-05-28,day,,,For Profit,,,,,"Administrative Services, Apps, Clothing and Apparel, Commerce and Shopping, Content and Publishing, Design, Internet Services, Manufacturing, Media and Entertainment, Software"
